SAMEA5064546,0.684139
SAMEA5064547,0.684436
SAMN02142985,0.68658
SAMN02142982,0.689738
SAMN02142986,0.688283
SAMN02842714,0.688447
SAMN02843152,0.680048
SAMN01915341,0.689105
SAMN01915339,0.690432
SAMN02843141,0.680979
SAMN02843079,0.683377
SAMN02843101,0.68276
SAMN02142989,0.68777
SAMN02843142,0.684146
SAMN02843143,0.68437
SAMN02841106,0.683757
SAMN02142988,0.687005
SAMN01915337,0.686965
SAMN02839607,0.682734
SAMN02843131,0.676175
SAMN02142990,0.686652
SAMN02941168,0.688718
SAMN02841116,0.685766
SAMN04545540,0.644483
SAMN04545541,0.644783
SAMN04545543,0.643782
SAMN04545544,0.647833
SAMN04545545,0.641517
SAMN04545546,0.640998
SAMN04545547,0.644233
SAMN04545548,0.644854
SAMN04545549,0.646378
SAMN01915355,0.694601
SAMN04545539,0.620008
SAMN04545533,0.62179
SAMN04545537,0.618639
SAMEA4644752,0.680728
SAMEA4644757,0.680979
SAMEA4644727,0.68123
SAMEA32997418,0.683479
SAMEA32981668,0.681409
SAMEA4644734,0.683503
SAMEA5714976,0.679451
SAMEA6163185,0.678789
SAMEA6163192,0.680856
SAMEA4644764,0.685035
SAMEA5714974,0.682527
SAMEA5159847,0.680245
SAMEA5159886,0.683027
SAMEA4644728,0.679037
SAMEA32982418,0.68125
SAMEA4644749,0.682628
SAMEA4644750,0.683403
SAMEA4644762,0.678174
SAMEA4644739,0.679675
SAMEA4644755,0.67967
SAMEA6163195,0.680138
SAMEA4644763,0.679809
SAMEA4644766,0.680994
SAMEA6163189,0.678771
SAMEA5714979,0.670317
SAMEA4644769,0.67635
SAMEA4644754,0.67859
SAMEA5159853,0.678989
SAMEA6163187,0.678735
SAMEA6163193,0.679098
SAMEA4644765,0.680445
SAMEA4644768,0.683316
SAMEA5714971,0.678302
SAMEA4644741,0.680242
SAMEA4644743,0.680239
SAMEA5159875,0.680129
SAMEA4644758,0.680577
SAMEA5159861,0.680039
SAMEA5059742,0.701716
SAMEA4644740,0.683005
SAMEA4644742,0.680762
SAMEA5159849,0.681715
SAMEA5059750,0.701972
SAMEA5059751,0.695384
SAMEA5059759,0.701741
SAMEA5159850,0.680543
SAMEA5059743,0.683623
SAMEA5059752,0.701806
SAMEA5059745,0.699723
SAMEA5059757,0.694299
SAMEA5059746,0.699881
SAMEA5059756,0.691423
SAMEA5059744,0.701223
SAMEA5059755,0.690623
SAMEA5059753,0.700204
SAMEA5159848,0.680713
SAMEA4644730,0.682933
SAMEA5159837,0.680458
SAMEA5159843,0.680772
SAMEA5714972,0.682015
SAMN02842704,0.686711
SAMN02842705,0.685527
SAMN02941176,0.696874
SAMN02941177,0.696369
SAMN02842706,0.682881
SAMN02843108,0.682821
SAMN02839608,0.683899
SAMN02843066,0.685762
SAMN02843056,0.687861
SAMN02941178,0.693278
SAMN02842715,0.684783
SAMN02843058,0.686384
SAMN02842700,0.686486
