SAMN02142985	Angus
SAMN02142982	Angus
SAMN02142986	Angus
SAMN02842714	Angus
SAMN02843152	Angus
SAMN01915341	Angus
SAMN01915339	Angus
SAMN02843141	Angus
SAMN02843079	Angus
SAMN02843101	Angus
SAMN02142989	Angus
SAMN02843142	Angus
SAMN02843143	Angus
SAMN02841106	Angus
SAMN02142988	Angus
SAMN01915337	Angus
SAMN02839607	Angus
SAMN02843131	Angus
SAMN02142990	Angus
SAMN02941168	Angus
SAMN02841116	Angus
SAMN02843144	Angus
SAMN02843145	Angus
SAMN02842717	Angus
SAMN02842718	Angus
SAMN02843054	Angus
SAMN02843055	Angus
SAMN02142987	Angus
SAMN02142983	Angus
SAMN02142984	Angus
SAMN02941169	Angus
SAMN01163917	Angus
SAMN04978239	Angus
SAMN04978240	Angus
SAMN04978241	Angus
SAMEA4560535	Angus
SAMEA4560531	Angus
SAMN04545540	Ankole
SAMN04545541	Ankole
SAMN04545542	Ankole
SAMN04545543	Ankole
SAMN04545544	Ankole
SAMN04545545	Ankole
SAMN04545546	Ankole
SAMN04545547	Ankole
SAMN04545548	Ankole
SAMN04545549	Ankole
SAMEA3706827	Aosta Red Pied
SAMEA3706828	Aosta Red Pied
SAMEA3706829	Aosta Red Pied
SAMN04028906	Auroch
SAMEA5159851	Australian Lowline
SAMEA5415491	Belgium Blue
SAMEA4051548	Belted Galloway
SAMN01915355	Blonde d'Aquitaine
SAMEA2065753	Bos taurus x Bos indicus
SAMEA2065739	Bos taurus x Bos indicus
SAMEA2065606	Bos taurus x Bos indicus
SAMEA2065754	Bos taurus x Bos indicus
SAMEA2065605	Bos taurus x Bos indicus
SAMEA2065752	Bos taurus x Bos indicus
SAMEA2065747	Bos taurus x Bos indicus
SAMEA2065743	Bos taurus x Bos indicus
SAMEA2065741	Bos taurus x Bos indicus
SAMEA2065936	Bos taurus x Bos indicus
SAMEA2065748	Bos taurus x Bos indicus
SAMEA2065749	Bos taurus x Bos indicus
SAMEA2065937	Bos taurus x Bos indicus
SAMEA2065745	Bos taurus x Bos indicus
SAMEA2065736	Bos taurus x Bos indicus
SAMEA2065746	Bos taurus x Bos indicus
SAMEA2065750	Bos taurus x Bos indicus
SAMEA2065742	Bos taurus x Bos indicus
SAMEA2065751	Bos taurus x Bos indicus
SAMEA2065737	Bos taurus x Bos indicus
SAMEA2065740	Bos taurus x Bos indicus
SAMEA2065738	Bos taurus x Bos indicus
SAMEA2065735	Bos taurus x Bos indicus
SAMEA2065744	Bos taurus x Bos indicus
SAMEA2065938	Bos taurus x Bos indicus
SAMEA4644734	Braunvieh
SAMEA4644764	Braunvieh
SAMEA5714974	Braunvieh
SAMEA5159886	Braunvieh
SAMEA4644749	Braunvieh
SAMEA4644750	Braunvieh
SAMEA4644768	Braunvieh
SAMEA4644741	Braunvieh
SAMEA5059742	Braunvieh
SAMEA4644740	Braunvieh
SAMEA5159849	Braunvieh
SAMEA5059750	Braunvieh
SAMEA5059751	Braunvieh
SAMEA5059759	Braunvieh
SAMEA5159850	Braunvieh
SAMEA5059743	Braunvieh
SAMEA5059754	Braunvieh
SAMEA5059752	Braunvieh
SAMEA5059745	Braunvieh
SAMEA5059757	Braunvieh
SAMEA5059746	Braunvieh
SAMEA5059756	Braunvieh
SAMEA5059744	Braunvieh
SAMEA5059755	Braunvieh
SAMEA5059753	Braunvieh
SAMEA5159848	Braunvieh
SAMEA4644730	Braunvieh
SAMEA5159837	Braunvieh
SAMEA5159843	Braunvieh
SAMEA5714972	Braunvieh
SAMEA5714975	Braunvieh
SAMEA4827645	Braunvieh
SAMEA5059741	Braunvieh
SAMEA5059747	Braunvieh
SAMEA5059748	Braunvieh
SAMEA5059749	Braunvieh
SAMEA5059758	Braunvieh
SAMEA4827646	Braunvieh
SAMEA4827647	Braunvieh
SAMEA4827648	Braunvieh
SAMEA4827649	Braunvieh
SAMEA4827650	Braunvieh
SAMEA4827651	Braunvieh
SAMEA4827652	Braunvieh
SAMEA4827653	Braunvieh
SAMEA4827654	Braunvieh
SAMEA4827655	Braunvieh
SAMEA4827656	Braunvieh
SAMEA4827657	Braunvieh
SAMEA4827658	Braunvieh
SAMEA4827659	Braunvieh
SAMEA4827660	Braunvieh
SAMEA4827661	Braunvieh
SAMEA4827662	Braunvieh
SAMEA4827663	Braunvieh
SAMEA4827664	Braunvieh
SAMEA4827665	Braunvieh
SAMEA4827666	Braunvieh
SAMEA4827667	Braunvieh
SAMEA4827668	Braunvieh
SAMEA4827669	Braunvieh
SAMEA4827670	Braunvieh
SAMEA4827671	Braunvieh
SAMEA4827672	Braunvieh
SAMEA4827673	Braunvieh
SAMEA4827674	Braunvieh
SAMEA5564726	Braunvieh
SAMEA5564727	Braunvieh
SAMEA6272082	Braunvieh
SAMEA6272083	Braunvieh
SAMEA6272084	Braunvieh
SAMEA6272085	Braunvieh
SAMEA6272086	Braunvieh
SAMEA6272087	Braunvieh
SAMEA6272088	Braunvieh
SAMEA6272089	Braunvieh
SAMEA6272090	Braunvieh
SAMEA6272091	Braunvieh
SAMEA6272092	Braunvieh
SAMEA6272093	Braunvieh
SAMEA6272094	Braunvieh
SAMEA6272100	Braunvieh
SAMEA6272102	Braunvieh
SAMEA6272103	Braunvieh
SAMEA6272107	Braunvieh
SAMEA6272109	Braunvieh
SAMEA6272110	Braunvieh
SAMEA6272112	Braunvieh
SAMEA6272113	Braunvieh
SAMEA6272114	Braunvieh
SAMEA6272115	Braunvieh
SAMEA6272117	Braunvieh
SAMEA6272118	Braunvieh
SAMEA6272119	Braunvieh
