accession	sample_title	breed	scientific_name	sex	center_name
SAMN05216014	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216015	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216016	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216017	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216018	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216019	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216020	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216021	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216022	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216023	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216024	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216025	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216026	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216027	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216028	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216029	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216030	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216031	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216032	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216033	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216034	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216035	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216036	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216037	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216038	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216040	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216041	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216042	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216043	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216044	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216045	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216046	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216047	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216048	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216049	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216050	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216051	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216052	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216053	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216054	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216055	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216056	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216057	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216058	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216059	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216060	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216061	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216062	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
