pop1	pop2	pop3	est	se	z	p	n
Ankole	CX1138	Angus	0.247150329165881	0.00546959043747607	45.1862588234171	0	289911
Ankole	CX1138	Aosta_Red_Pied	0.24810262553069	0.0054262097884632	45.7230065188756	0	289605
Ankole	CX1138	Australian_Lowline	0.248566411091591	0.0058939433709603	42.1731929621666	0	288530
Ankole	CX1138	Belgium_Blue	0.24974395826583	0.00576867383044903	43.2931321142819	0	288757
Ankole	CX1138	Belted_Galloway	0.247177230763652	0.00580092801370423	42.6099462326916	0	285273
Ankole	CX1138	Blonde_d'Aquitaine	0.250853375011329	0.00612418014467524	40.9611358721113	0	283052
Ankole	CX1138	Braunvieh	0.25072071499233	0.00536748645003759	46.7110103259925	0	289934
Ankole	CX1138	Brown_Swiss	0.252113138077916	0.00549706409411516	45.8632342213025	0	289934
Ankole	CX1138	CX113E	0.378516123768813	0.0154053408633799	24.5704478158342	2.61530058886921e-133	7251
Ankole	CX1138	CX113F	0.498136750734095	0.0498312267020219	9.99647778516121	1.57914044735826e-23	762
Ankole	CX1138	Charolais	0.247400199433865	0.00537065355910802	46.0651942470395	0	289936
Ankole	CX1138	Chianina	0.209514398300501	0.00488388777968597	42.8991016484765	0	289534
Ankole	CX1138	Devon	0.250677800694665	0.00565787276702253	44.3060158856461	0	287777
Ankole	CX1138	Eastern_Finncattle	0.238811502783052	0.0055200495384567	43.2625651489749	0	289722
Ankole	CX1138	Eringer	0.258094333690874	0.00557518055398947	46.2934484706846	0	289713
Ankole	CX1138	Evolene	0.258093045350698	0.00572053694377485	45.1169265905289	0	289443
Ankole	CX1138	Fleckvieh	0.277794273334109	0.00569441524157644	48.7836347630323	0	289816
Ankole	CX1138	Galloway	0.245218436916631	0.00570700009599962	42.9680099512386	0	286621
Ankole	CX1138	Gelbvieh	0.258277525763238	0.00549256977751597	47.0230759417034	0	289934
Ankole	CX1138	Hanwoo	0.17566959881166	0.00449233126579126	39.1043287812209	0	269287
Ankole	CX1138	Hereford	0.244683032236676	0.00541213493524301	45.2100760909225	0	289935
Ankole	CX1138	Holstein	0.250192933056383	0.00551999651423568	45.3248353347965	0	289933
Ankole	CX1138	Holstein_x_Freisian	0.250082978425697	0.00547804482136035	45.6518678800431	0	289937
Ankole	CX1138	Holstein_x_Hereford	0.249700164540823	0.00538246271467109	46.3914341404	0	289908
Ankole	CX1138	Jersey	0.247618940644198	0.00546819440859056	45.2834925282078	0	289670
Ankole	CX1138	Kangayam	-0.0129576478964354	0.00321453393035205	-4.03095695275997	5.55502180244751e-05	287293
Ankole	CX1138	Kuchinoshima	0.214059045718422	0.0058412109687019	36.6463472840449	5.23195154086829e-294	281422
Ankole	CX1138	La_Reina	0.208726264947297	0.0059893772772544	34.8494100947636	4.34616344191199e-266	263692
Ankole	CX1138	Limousin	0.254074386427602	0.00548373446194015	46.3323649587712	0	289770
Ankole	CX1138	Maine_Anjou	0.246809261212138	0.00546870179220075	45.1312341741011	0	289848
Ankole	CX1138	Mishima	0.215029412335164	0.00545425288166255	39.424173576202	0	288947
Ankole	CX1138	Nelore	-0.00350147039804411	0.00301318241316883	-1.16205058901886	0.245214916353655	288369
Ankole	CX1138	Nordic_Red_cattle	0.250882449380213	0.00562322141381282	44.6154314258279	0	289140
Ankole	CX1138	Normande	0.245404870091754	0.00580724249784435	42.2584161386146	0	287986
