accession	breed	scientific_name
SAMEA4827662	Braunvieh	Bos taurus
SAMEA4827663	Braunvieh	Bos taurus
SAMEA4827664	Braunvieh	Bos taurus
SAMEA4827665	Braunvieh	Bos taurus
SAMEA4827666	Braunvieh	Bos taurus
SAMEA4827667	Braunvieh	Bos taurus
SAMEA4827668	Braunvieh	Bos taurus
SAMEA4827669	Braunvieh	Bos taurus
SAMEA4827670	Braunvieh	Bos taurus
SAMEA4827671	Braunvieh	Bos taurus
SAMEA4827672	Braunvieh	Bos taurus
SAMEA4827673	Braunvieh	Bos taurus
SAMEA4827674	Braunvieh	Bos taurus
SAMEA5564726	Braunvieh	Bos taurus
SAMEA5564727	Braunvieh	Bos taurus
SAMEA6272082	Braunvieh	Bos taurus
SAMEA6272083	Braunvieh	Bos taurus
SAMEA6272084	Braunvieh	Bos taurus
SAMEA6272085	Braunvieh	Bos taurus
SAMEA6272086	Braunvieh	Bos taurus
SAMEA6272087	Braunvieh	Bos taurus
SAMEA6272088	Braunvieh	Bos taurus
SAMEA6272089	Braunvieh	Bos taurus
SAMEA6272090	Braunvieh	Bos taurus
SAMEA6272091	Braunvieh	Bos taurus
SAMEA6272092	Braunvieh	Bos taurus
SAMEA6272093	Braunvieh	Bos taurus
SAMEA6272094	Braunvieh	Bos taurus
SAMEA6272100	Braunvieh	Bos taurus
SAMEA6272102	Braunvieh	Bos taurus
SAMEA6272103	Braunvieh	Bos taurus
SAMEA6272107	Braunvieh	Bos taurus
SAMEA6272109	Braunvieh	Bos taurus
SAMEA6272110	Braunvieh	Bos taurus
SAMEA6272112	Braunvieh	Bos taurus
SAMEA6272113	Braunvieh	Bos taurus
SAMEA6272114	Braunvieh	Bos taurus
SAMEA6272115	Braunvieh	Bos taurus
SAMEA6272117	Braunvieh	Bos taurus
SAMEA6272118	Braunvieh	Bos taurus
SAMEA6272119	Braunvieh	Bos taurus
SAMEA6272120	Braunvieh	Bos taurus
SAMEA6272121	Braunvieh	Bos taurus
SAMEA6272122	Braunvieh	Bos taurus
SAMEA6272123	Braunvieh	Bos taurus
SAMEA6272124	Braunvieh	Bos taurus
SAMEA6272125	Braunvieh	Bos taurus
SAMEA6272126	Braunvieh	Bos taurus
SAMEA6272127	Braunvieh	Bos taurus
SAMEA4644757	Brown Swiss	Bos taurus
SAMEA4644727	Brown Swiss	Bos taurus
SAMEA32997418	Brown Swiss	Bos taurus
SAMEA32981668	Brown Swiss	Bos taurus
SAMEA5714976	Brown Swiss	Bos taurus
SAMEA6163185	Brown Swiss	Bos taurus
SAMEA6163192	Brown Swiss	Bos taurus
SAMEA5159847	Brown Swiss	Bos taurus
SAMEA4644728	Brown Swiss	Bos taurus
SAMEA32982418	Brown Swiss	Bos taurus
SAMEA4644762	Brown Swiss	Bos taurus
SAMEA4644739	Brown Swiss	Bos taurus
SAMEA4644755	Brown Swiss	Bos taurus
SAMEA6163195	Brown Swiss	Bos taurus
SAMEA4644763	Brown Swiss	Bos taurus
SAMEA4644766	Brown Swiss	Bos taurus
SAMEA6163189	Brown Swiss	Bos taurus
SAMEA5714979	Brown Swiss	Bos taurus
SAMEA4644769	Brown Swiss	Bos taurus
SAMEA4644754	Brown Swiss	Bos taurus
SAMEA5159853	Brown Swiss	Bos taurus
SAMEA6163187	Brown Swiss	Bos taurus
SAMEA6163193	Brown Swiss	Bos taurus
SAMEA4644765	Brown Swiss	Bos taurus
SAMEA5714971	Brown Swiss	Bos taurus
SAMEA4644743	Brown Swiss	Bos taurus
SAMEA5159875	Brown Swiss	Bos taurus
SAMEA4644758	Brown Swiss	Bos taurus
SAMEA5159861	Brown Swiss	Bos taurus
SAMEA4644742	Brown Swiss	Bos taurus
SAMEA32980918	Brown Swiss	Bos taurus
SAMEA5159867	Brown Swiss	Bos taurus
SAMEA5159869	Brown Swiss	Bos taurus
SAMEA5159870	Brown Swiss	Bos taurus
SAMEA5159872	Brown Swiss	Bos taurus
SAMEA5159873	Brown Swiss	Bos taurus
SAMEA4644756	Brown Swiss	Bos taurus
SAMEA5159871	Brown Swiss	Bos taurus
SAMEA5159868	Brown Swiss	Bos taurus
SAMEA6163199	Brown Swiss	Bos taurus
SAMEA5159874	Brown Swiss	Bos taurus
SAMEA5159865	Brown Swiss	Bos taurus
SAMEA5159863	Brown Swiss	Bos taurus
SAMEA5159866	Brown Swiss	Bos taurus
SAMEA4644735	Brown Swiss	Bos taurus
SAMEA5159864	Brown Swiss	Bos taurus
SAMEA19312918	Brown Swiss	Bos taurus
SAMEA19313668	Brown Swiss	Bos taurus
SAMEA19314418	Brown Swiss	Bos taurus
SAMEA19315168	Brown Swiss	Bos taurus
SAMEA19318918	Brown Swiss	Bos taurus
SAMEA19323418	Brown Swiss	Bos taurus
SAMEA19847668	Brown Swiss	Bos taurus
SAMEA19850668	Brown Swiss	Bos taurus
SAMEA19864918	Brown Swiss	Bos taurus
SAMEA4051550	Brown Swiss	Bos taurus
SAMEA4560541	Brown Swiss	Bos taurus
SAMEA5415485	Brown Swiss	Bos taurus
SAMEA5415486	Brown Swiss	Bos taurus
SAMEA5415488	Brown Swiss	Bos taurus
SAMEA5415490	Brown Swiss	Bos taurus
SAMEA5415498	Brown Swiss	Bos taurus
SAMEA6163175	Brown Swiss	Bos taurus
SAMEA6163176	Brown Swiss	Bos taurus
SAMEA6163177	Brown Swiss	Bos taurus
SAMEA6163178	Brown Swiss	Bos taurus
SAMEA6163179	Brown Swiss	Bos taurus
SAMEA6163180	Brown Swiss	Bos taurus
SAMEA6163181	Brown Swiss	Bos taurus
SAMEA6163182	Brown Swiss	Bos taurus
SAMEA6163183	Brown Swiss	Bos taurus
SAMEA6163184	Brown Swiss	Bos taurus
SAMEA6163186	Brown Swiss	Bos taurus
SAMEA6163188	Brown Swiss	Bos taurus
SAMEA6163190	Brown Swiss	Bos taurus
SAMEA6163191	Brown Swiss	Bos taurus
SAMEA6163194	Brown Swiss	Bos taurus
SAMEA6163196	Brown Swiss	Bos taurus
SAMEA6163197	Brown Swiss	Bos taurus
SAMEA6163198	Brown Swiss	Bos taurus
SAMEA6272095	Brown Swiss	Bos taurus
SAMEA6272096	Brown Swiss	Bos taurus
SAMEA6272097	Brown Swiss	Bos taurus
SAMEA6272098	Brown Swiss	Bos taurus
SAMEA6272099	Brown Swiss	Bos taurus
SAMEA6272101	Brown Swiss	Bos taurus
SAMEA6272104	Brown Swiss	Bos taurus
SAMEA6272105	Brown Swiss	Bos taurus
SAMEA6272106	Brown Swiss	Bos taurus
SAMEA6272108	Brown Swiss	Bos taurus
SAMEA6272111	Brown Swiss	Bos taurus
SAMEA6272116	Brown Swiss	Bos taurus
SAMN02842704	Charolais	Bos taurus
SAMN02842705	Charolais	Bos taurus
SAMN02941176	Charolais	Bos taurus
SAMN02941177	Charolais	Bos taurus
SAMN02842706	Charolais	Bos taurus
SAMN02843108	Charolais	Bos taurus
SAMN02839608	Charolais	Bos taurus
SAMN02843066	Charolais	Bos taurus
SAMN02843056	Charolais	Bos taurus
SAMN02941178	Charolais	Bos taurus
SAMN02842715	Charolais	Bos taurus
SAMN02843058	Charolais	Bos taurus
SAMN02842700	Charolais	Bos taurus
SAMN02839609	Charolais	Bos taurus
SAMN01915352	Charolais	Bos taurus
SAMN02839610	Charolais	Bos taurus
SAMN02839611	Charolais	Bos taurus
SAMN02142992	Charolais	Bos taurus
SAMN02843123	Charolais	Bos taurus
SAMN02142993	Charolais	Bos taurus
SAMN02142991	Charolais	Bos taurus
SAMN02142994	Charolais	Bos taurus
SAMN02142995	Charolais	Bos taurus
SAMEA2821387	Charolais	Bos taurus
SAMEA33668668	Chianina	Bos taurus
SAMEA32999668	Chianina	Bos taurus
SAMEA32998168	Chianina	Bos taurus
SAMN02843115	Composite	Bos taurus
SAMN02843116	Composite	Bos taurus
SAMN02843117	Composite	Bos taurus
SAMN02843118	Composite	Bos taurus
SAMN02843119	Composite	Bos taurus
SAMN02842697	Composite	Bos taurus
SAMN02843146	Composite	Bos taurus
SAMN02842713	Composite	Bos taurus
SAMN02843104	Composite	Bos taurus
SAMN02841104	Composite	Bos taurus
SAMN02843105	Composite	Bos taurus
SAMN02842698	Composite	Bos taurus
SAMN02842699	Composite	Bos taurus
SAMN02843106	Composite	Bos taurus
SAMN02842703	Composite	Bos taurus
SAMN02843107	Composite	Bos taurus
SAMN02842719	Composite	Bos taurus
SAMN02842720	Composite	Bos taurus
SAMN02843057	Composite	Bos taurus
SAMN02841105	Devon	Bos taurus
SAMEA4827182	Eastern Finncattle	Bos taurus
SAMEA4827183	Eastern Finncattle	Bos taurus
SAMEA4827184	Eastern Finncattle	Bos taurus
SAMEA4827185	Eastern Finncattle	Bos taurus
SAMEA4827186	Eastern Finncattle	Bos taurus
SAMEA5714967	Eringer	Bos taurus
SAMEA19849168	Eringer	Bos taurus
SAMEA4560538	Eringer	Bos taurus
SAMEA5714968	Évolène	Bos taurus
SAMEA5714969	Évolène	Bos taurus
SAMEA6272128	Fleckvieh	Bos taurus
SAMEA6272129	Fleckvieh	Bos taurus
SAMEA6272132	Fleckvieh	Bos taurus
SAMEA6272133	Fleckvieh	Bos taurus
SAMEA6272134	Fleckvieh	Bos taurus
SAMEA4051549	Galloway	Bos taurus
SAMN02842707	Gelbvieh	Bos taurus
SAMN02843150	Gelbvieh	Bos taurus
SAMN02843153	Gelbvieh	Bos taurus
SAMN02843059	Gelbvieh	Bos taurus
SAMN02843062	Gelbvieh	Bos taurus
SAMN02841107	Gelbvieh	Bos taurus
SAMN02839600	Gelbvieh	Bos taurus
SAMN02843070	Gelbvieh	Bos taurus
SAMN02839601	Gelbvieh	Bos taurus
SAMN02843075	Gelbvieh	Bos taurus
SAMN02843088	Gelbvieh	Bos taurus
SAMN02843071	Gelbvieh	Bos taurus
SAMN02843076	Gelbvieh	Bos taurus
SAMN02843077	Gelbvieh	Bos taurus
SAMN02843089	Gelbvieh	Bos taurus
SAMN02843072	Gelbvieh	Bos taurus
SAMN02839602	Gelbvieh	Bos taurus
SAMN02839603	Gelbvieh	Bos taurus
SAMN02839604	Gelbvieh	Bos taurus
SAMN02843073	Gelbvieh	Bos taurus
SAMN03839032	Hanwoo	Bos taurus
SAMN02843132	Hereford	Bos taurus
SAMN02843090	Hereford	Bos taurus
SAMN02843091	Hereford	Bos taurus
SAMN02843109	Hereford	Bos taurus
SAMN02843097	Hereford	Bos taurus
SAMN02843133	Hereford	Bos taurus
SAMN02841108	Hereford	Bos taurus
SAMN02843068	Hereford	Bos taurus
SAMN02843092	Hereford	Bos taurus
SAMN02843098	Hereford	Bos taurus
SAMN02843134	Hereford	Bos taurus
SAMN02142997	Hereford	Bos taurus
SAMN02843111	Hereford	Bos taurus
SAMN02843112	Hereford	Bos taurus
SAMN01915353	Hereford	Bos taurus
SAMN02843113	Hereford	Bos taurus
SAMN02843099	Hereford	Bos taurus
SAMN02839605	Hereford	Bos taurus
SAMN02841111	Hereford	Bos taurus
SAMN02841112	Hereford	Bos taurus
SAMN02841113	Hereford	Bos taurus
SAMN02839606	Hereford	Bos taurus
SAMN02842709	Hereford	Bos taurus
SAMN02842710	Hereford	Bos taurus
SAMN02142996	Hereford	Bos taurus
SAMN02841114	Hereford	Bos taurus
SAMN02841115	Hereford	Bos taurus
SAMN02843135	Hereford	Bos taurus
SAMN02843093	Hereford	Bos taurus
SAMN02143002	Hereford	Bos taurus
SAMN02143004	Hereford	Bos taurus
SAMN02143003	Hereford	Bos taurus
SAMN10598556	Hereford	Bos taurus
SAMN10598557	Hereford	Bos taurus
SAMN10598558	Hereford	Bos taurus
SAMN10598559	Hereford	Bos taurus
SAMN10598560	Hereford	Bos taurus
SAMN10598561	Hereford	Bos taurus
SAMN10598562	Hereford	Bos taurus
SAMN10598563	Hereford	Bos taurus
SAMN10598564	Hereford	Bos taurus
SAMN10598565	Hereford	Bos taurus
SAMN10598566	Hereford	Bos taurus
SAMN10598567	Hereford	Bos taurus
SAMN10598569	Hereford	Bos taurus
SAMN10598570	Hereford	Bos taurus
SAMN10598573	Hereford	Bos taurus
SAMN10598574	Hereford	Bos taurus
SAMN10598576	Hereford	Bos taurus
SAMN05217649	Hereford	Bos taurus
SAMN03465694	Hereford	Bos taurus
SAMEA2821386	Hereford	Bos taurus
SAMEA19848418	Holstein	Bos taurus
SAMN09519608	Holstein	Bos taurus
SAMN09519607	Holstein	Bos taurus
SAMN09519616	Holstein	Bos taurus
SAMN09519617	Holstein	Bos taurus
SAMN09519623	Holstein	Bos taurus
SAMN09519621	Holstein	Bos taurus
SAMN09519624	Holstein	Bos taurus
SAMN09519604	Holstein	Bos taurus
SAMN09519618	Holstein	Bos taurus
SAMN09519610	Holstein	Bos taurus
SAMN09519630	Holstein	Bos taurus
SAMN09519631	Holstein	Bos taurus
SAMN09519615	Holstein	Bos taurus
SAMN09519622	Holstein	Bos taurus
SAMN09519614	Holstein	Bos taurus
SAMN09519634	Holstein	Bos taurus
SAMN09519619	Holstein	Bos taurus
SAMN09519625	Holstein	Bos taurus
SAMN09519633	Holstein	Bos taurus
SAMN02843168	Holstein	Bos taurus
SAMN02841117	Holstein	Bos taurus
SAMN02841118	Holstein	Bos taurus
SAMN02843156	Holstein	Bos taurus
SAMN02842701	Holstein	Bos taurus
SAMN02843157	Holstein	Bos taurus
SAMN02843158	Holstein	Bos taurus
SAMN02842711	Holstein	Bos taurus
SAMN02841109	Holstein	Bos taurus
SAMN02843160	Holstein	Bos taurus
SAMN02843139	Holstein	Bos taurus
SAMN02843161	Holstein	Bos taurus
SAMN02843162	Holstein	Bos taurus
SAMN02843169	Holstein	Bos taurus
SAMN02843124	Holstein	Bos taurus
SAMN02843163	Holstein	Bos taurus
SAMN02843125	Holstein	Bos taurus
SAMN02843120	Holstein	Bos taurus
SAMN02843154	Holstein	Bos taurus
SAMN02841119	Holstein	Bos taurus
SAMN02843170	Holstein	Bos taurus
SAMN09519627	Holstein	Bos taurus
SAMN09519605	Holstein	Bos taurus
SAMEA3682654	Holstein	Bos taurus
SAMEA19871668	Holstein	Bos taurus
SAMEA4644737	Holstein	Bos taurus
SAMEA3113485	Holstein	Bos taurus
SAMEA4644729	Holstein	Bos taurus
SAMEA4644732	Holstein	Bos taurus
SAMEA4644731	Holstein	Bos taurus
SAMEA19325668	Holstein	Bos taurus
SAMEA4644746	Holstein	Bos taurus
SAMEA4644736	Holstein	Bos taurus
SAMEA5159879	Holstein	Bos taurus
SAMEA4644753	Holstein	Bos taurus
SAMEA3682653	Holstein	Bos taurus
SAMEA4644738	Holstein	Bos taurus
SAMEA5159857	Holstein	Bos taurus
SAMEA4644748	Holstein	Bos taurus
SAMEA5159855	Holstein	Bos taurus
SAMEA19874668	Holstein	Bos taurus
SAMEA32990668	Holstein	Bos taurus
SAMEA5159859	Holstein	Bos taurus
SAMEA32992168	Holstein	Bos taurus
SAMEA5159860	Holstein	Bos taurus
SAMEA4644733	Holstein	Bos taurus
SAMEA4644761	Holstein	Bos taurus
SAMEA5714977	Holstein	Bos taurus
SAMEA5714978	Holstein	Bos taurus
SAMEA32983918	Holstein	Bos taurus
SAMN02842716	Holstein	Bos taurus
SAMN02843114	Holstein	Bos taurus
SAMEA33004168	Holstein	Bos taurus
SAMN02843126	Holstein	Bos taurus
SAMEA5159878	Holstein	Bos taurus
SAMEA33000418	Holstein	Bos taurus
SAMEA32983168	Holstein	Bos taurus
SAMEA32984668	Holstein	Bos taurus
SAMEA4644759	Holstein	Bos taurus
SAMEA4644751	Holstein	Bos taurus
SAMEA3706830	Holstein	Bos taurus
SAMN02843140	Holstein	Bos taurus
SAMN02843180	Holstein	Bos taurus
SAMN02843171	Holstein	Bos taurus
SAMN02843155	Holstein	Bos taurus
SAMN02843181	Holstein	Bos taurus
SAMN02843164	Holstein	Bos taurus
SAMN02843172	Holstein	Bos taurus
SAMN02843127	Holstein	Bos taurus
SAMN02843165	Holstein	Bos taurus
SAMEA5159880	Holstein	Bos taurus
SAMN02843173	Holstein	Bos taurus
SAMN02843174	Holstein	Bos taurus
SAMN02843175	Holstein	Bos taurus
SAMEA5159833	Holstein	Bos taurus
SAMN02843128	Holstein	Bos taurus
SAMEA32995918	Holstein	Bos taurus
SAMN09519613	Holstein	Bos taurus
SAMN09519612	Holstein	Bos taurus
SAMN09519632	Holstein	Bos taurus
SAMN09519629	Holstein	Bos taurus
SAMN09519620	Holstein	Bos taurus
SAMN09519611	Holstein	Bos taurus
SAMN09519609	Holstein	Bos taurus
SAMN09519606	Holstein	Bos taurus
SAMN09519603	Holstein	Bos taurus
SAMN02843129	Holstein	Bos taurus
SAMN02843176	Holstein	Bos taurus
SAMN02843166	Holstein	Bos taurus
SAMN02843182	Holstein	Bos taurus
SAMN02843110	Holstein	Bos taurus
SAMN02843130	Holstein	Bos taurus
SAMEA5159882	Holstein	Bos taurus
SAMN02843167	Holstein	Bos taurus
SAMEA5159881	Holstein	Bos taurus
SAMN02843177	Holstein	Bos taurus
SAMN02843178	Holstein	Bos taurus
SAMEA5159883	Holstein	Bos taurus
SAMEA4644767	Holstein	Bos taurus
SAMEA5160021	Holstein	Bos taurus
SAMEA4644726	Holstein	Bos taurus
SAMEA32986918	Holstein	Bos taurus
SAMEA32995168	Holstein	Bos taurus
SAMEA32996668	Holstein	Bos taurus
SAMN10598549	Holstein	Bos taurus
SAMN10598568	Holstein	Bos taurus
SAMEA5159856	Holstein	Bos taurus
SAMEA5159858	Holstein	Bos taurus
SAMEA4644747	Holstein	Bos taurus
SAMN02671482	Holstein	Bos taurus
SAMN02671596	Holstein	Bos taurus
SAMEA19311418	Holstein	Bos taurus
SAMEA19312168	Holstein	Bos taurus
SAMEA19316668	Holstein	Bos taurus
SAMEA19317418	Holstein	Bos taurus
SAMEA19318168	Holstein	Bos taurus
SAMEA19320418	Holstein	Bos taurus
SAMEA19321168	Holstein	Bos taurus
SAMEA19321918	Holstein	Bos taurus
SAMEA19322668	Holstein	Bos taurus
SAMEA19846918	Holstein	Bos taurus
SAMEA19851418	Holstein	Bos taurus
SAMEA19864168	Holstein	Bos taurus
SAMEA19865668	Holstein	Bos taurus
SAMEA19867168	Holstein	Bos taurus
SAMEA19876918	Holstein	Bos taurus
SAMEA4560543	Holstein	Bos taurus
SAMEA5415492	Holstein	Bos taurus
SAMEA5415494	Holstein	Bos taurus
SAMEA5415496	Holstein	Bos taurus
SAMEA5415500	Holstein	Bos taurus
SAMEA5415501	Holstein	Bos taurus
SAMEA5415502	Holstein	Bos taurus
SAMEA4560540	Holstein	Bos taurus
SAMEA5946758	Holstein	Bos taurus
SAMEA5946759	Holstein	Bos taurus
SAMEA4780233	Holstein x Freisian	Bos taurus
SAMEA4780234	Holstein x Freisian	Bos taurus
SAMEA4780235	Holstein x Freisian	Bos taurus
SAMEA4780236	Holstein x Freisian	Bos taurus
SAMEA4780237	Holstein x Freisian	Bos taurus
SAMEA4780238	Holstein x Freisian	Bos taurus
SAMEA4780239	Holstein x Freisian	Bos taurus
SAMEA4780240	Holstein x Freisian	Bos taurus
SAMEA4780241	Holstein x Freisian	Bos taurus
SAMEA4780242	Holstein x Freisian	Bos taurus
SAMEA4780243	Holstein x Freisian	Bos taurus
SAMEA4780244	Holstein x Freisian	Bos taurus
SAMEA4780245	Holstein x Freisian	Bos taurus
SAMEA4780246	Holstein x Freisian	Bos taurus
SAMEA4780247	Holstein x Freisian	Bos taurus
SAMEA4780248	Holstein x Freisian	Bos taurus
SAMEA4780249	Holstein x Freisian	Bos taurus
SAMEA4780250	Holstein x Freisian	Bos taurus
SAMEA4780251	Holstein x Freisian	Bos taurus
SAMEA4780252	Holstein x Freisian	Bos taurus
SAMEA4780253	Holstein x Freisian	Bos taurus
SAMEA4780254	Holstein x Freisian	Bos taurus
SAMEA4780255	Holstein x Freisian	Bos taurus
SAMEA4780256	Holstein x Freisian	Bos taurus
SAMEA4780257	Holstein x Freisian	Bos taurus
SAMEA4780258	Holstein x Freisian	Bos taurus
SAMEA4780259	Holstein x Freisian	Bos taurus
SAMEA4780260	Holstein x Freisian	Bos taurus
SAMEA4780262	Holstein x Freisian	Bos taurus
SAMEA4780263	Holstein x Freisian	Bos taurus
SAMEA4780264	Holstein x Freisian	Bos taurus
SAMEA4780265	Holstein x Freisian	Bos taurus
SAMEA4780266	Holstein x Freisian	Bos taurus
SAMEA4780267	Holstein x Freisian	Bos taurus
SAMEA4780268	Holstein x Freisian	Bos taurus
SAMEA4780269	Holstein x Freisian	Bos taurus
SAMEA4780270	Holstein x Freisian	Bos taurus
SAMEA4780271	Holstein x Freisian	Bos taurus
